worker_id,name,skill,experience,rating,workload,availability,latitude,longitude
W0032,Arun Agarwal,Carpentry,16,3.4,4,0,28.426224,77.518885
W0033,Sunil Mishra,Electrical,15,4.3,7,1,28.513206,76.817841
W0034,Anil Mishra,Carpentry,15,3.7,6,1,28.563147,77.223177
W0035,Mohit Kumar,Plumbing,10,4.5,5,1,28.443314,77.204614
W0036,Anil Gupta,Cleaning,4,4.7,8,1,28.680668,76.945158
W0037,Manoj Sharma,Carpentry,9,4.5,2,1,29.062822,77.486058
W0038,Mohit Kumar,Painting,1,4.4,4,0,28.728669,77.760919
W0039,Pankaj Sharma,Cleaning,8,4.8,2,1,28.980326,76.86966
W0040,Pankaj Verma,Plumbing,17,4.8,3,1,28.877642,77.071272
W0041,Vikas Joshi,Electrical,5,4.6,2,0,28.564476,77.70921
W0042,Vikas Verma,Carpentry,8,4.7,9,1,28.487447,77.771429
W0043,Rajesh Kumar,Gardening,4,3.9,10,1,29.072573,77.499056
W0044,Pankaj Gupta,Carpentry,9,3.7,1,1,28.711773,77.003133
W0045,Mohit Singh,Gardening,19,4.4,8,1,28.965051,77.160657
W0046,Deepak Patel,Plumbing,18,4.3,1,1,28.548235,76.828318
W0047,Anil Singh,Electrical,9,3.6,1,1,28.601849,76.953717
W0048,Deepak Patel,Plumbing,17,4.4,5,0,28.429791,77.199188
W0049,Pankaj Gupta,Plumbing,18,3.4,2,1,29.181626,77.555812
W0050,Deepak Joshi,Gardening,9,4.4,5,1,29.179155,77.098684
W0051,Suresh Gupta,Gardening,14,3.7,3,1,28.724917,77.493071
W0052,Ravi Joshi,Gardening,16,3.7,1,1,28.70138,77.571187
W0053,Vivek Kumar,Gardening,15,4.5,5,1,29.064088,76.988355
W0054,Pankaj Kumar,Painting,2,4.1,10,1,28.719224,76.812984
W0055,Pankaj Joshi,Gardening,14,3.5,4,1,29.148611,76.931716
W0056,Mohit Agarwal,Carpentry,2,4.7,0,1,28.535692,77.68964
W0057,Pankaj Joshi,Painting,15,4.2,5,0,28.745303,76.851422
W0058,Pankaj Patel,Painting,1,4.2,5,1,28.900552,77.440561
W0059,Amit Yadav,Plumbing,2,3.5,2,1,28.763899,77.174478
W0060,Mohit Joshi,Carpentry,11,4.6,2,1,28.863696,77.786258
W0061,Karan Sharma,Painting,15,3.6,8,0,28.689643,76.935559
W0062,Karan Patel,Cleaning,18,3.6,9,1,28.817686,76.842619
W0063,Karan Joshi,Plumbing,4,5.0,3,1,28.909438,77.301875
W0064,Rohit Sharma,Cleaning,14,4.1,5,1,29.104729,77.589089
W0065,Karan Verma,Carpentry,4,4.6,0,0,29.127065,77.437255
W0066,Vivek Singh,Painting,2,3.7,6,1,28.685583,77.531371
W0067,Sunil Patel,Plumbing,14,4.6,9,1,28.657519,77.712449
W0068,Rohit Singh,Plumbing,2,4.1,9,1,28.427612,77.484558
W0069,Pankaj Patel,Painting,20,3.6,4,0,29.081289,77.482925
W0070,Manoj Singh,Carpentry,1,4.1,0,1,29.003774,77.203607
W0071,Rohit Yadav,Gardening,1,3.9,0,1,28.641405,77.338746
W0072,Rohit Agarwal,Gardening,15,4.6,8,1,28.997834,77.287971
W0073,Rohit Kumar,Electrical,10,4.0,9,1,28.512866,77.298073
W0074,Manoj Sharma,Cleaning,14,4.3,7,0,29.064569,77.796624
W0075,Vikas Joshi,Gardening,1,4.2,2,1,29.188633,76.926716
W0076,Mohit Gupta,Painting,11,3.3,4,1,28.49609,76.917344
W0077,Karan Yadav,Cleaning,20,4.2,10,1,28.427898,77.48847
W0078,Anil Verma,Cleaning,19,3.8,1,1,28.573267,77.799677
W0079,Manoj Joshi,Carpentry,18,3.7,9,1,28.410464,76.913845
W0080,Vivek Gupta,Painting,6,3.1,8,1,29.116128,77.792113
W0081,Mohit Yadav,Plumbing,16,4.0,6,0,28.62756,77.797809
W0082,Vivek Agarwal,Cleaning,12,4.9,7,1,28.820896,77.011616
W0083,Karan Singh,Carpentry,8,4.4,2,1,28.836365,77.424178
W0084,Mohit Sharma,Electrical,20,3.3,5,1,29.165622,77.418929
W0085,Vivek Yadav,Plumbing,2,4.8,2,1,28.85864,77.672738
W0086,Rajesh Mishra,Gardening,5,4.1,7,1,28.697014,77.415709
W0087,Rohit Verma,Cleaning,18,3.2,5,0,28.840225,77.358141
W0088,Amit Patel,Electrical,10,3.2,2,0,28.529198,76.818407
W0089,Amit Joshi,Plumbing,15,4.3,5,1,29.022822,77.11827
W0090,Suresh Kumar,Gardening,7,3.5,4,0,28.643107,77.004039
W0091,Anil Mishra,Cleaning,11,4.5,0,0,28.808815,77.628016
W0092,Deepak Verma,Painting,4,4.6,9,1,28.408429,77.344641
W0093,Rohit Agarwal,Painting,2,4.8,7,1,29.193266,76.815551
W0094,Rohit Kumar,Painting,11,3.0,9,1,29.163131,77.279963
W0095,Pankaj Gupta,Gardening,5,4.9,6,1,28.938042,77.099807
W0096,Ravi Singh,Painting,14,4.4,9,1,28.450993,77.032561
W0097,Manoj Gupta,Cleaning,14,4.4,5,1,28.658713,77.679684
W0098,Sunil Yadav,Painting,19,4.2,1,1,28.674707,77.248925
W0099,Karan Kumar,Plumbing,6,4.3,8,0,29.085932,77.205933
W0100,Rohit Patel,Gardening,12,3.8,10,1,29.072081,77.270375
W0101,Pankaj Gupta,Cleaning,3,4.4,4,1,28.716315,77.575025
W0102,Amit Patel,Painting,11,4.1,0,0,28.821506,77.213983
W0103,Vivek Yadav,Plumbing,11,3.9,0,1,28.854886,77.574861
W0104,Suresh Kumar,Carpentry,12,3.3,2,0,28.554925,76.913526
W0105,Mohit Mishra,Electrical,5,3.9,0,1,29.136786,77.178097
W0106,Rohit Joshi,Electrical,9,3.2,3,1,29.16817,77.199026
W0107,Pankaj Kumar,Electrical,4,3.6,4,0,28.540825,77.653178
W0108,Sunil Singh,Painting,10,4.0,9,1,28.846017,77.521035
W0109,Anil Mishra,Electrical,7,4.4,4,1,28.692798,77.631695
W0110,Rajesh Sharma,Painting,13,4.3,3,1,28.499177,77.516251
W0111,Vikas Kumar,Cleaning,3,3.5,4,1,28.824035,77.429927
W0112,Ravi Sharma,Cleaning,19,4.3,10,1,28.979325,77.477041
W0113,Rohit Yadav,Electrical,11,4.5,5,1,28.553737,77.495679
W0114,Rohit Agarwal,Painting,19,4.6,0,1,28.619879,76.887302
W0115,Sunil Verma,Cleaning,8,4.7,5,1,28.503454,77.442646
W0116,Vivek Patel,Plumbing,13,4.9,6,1,28.897902,77.367155
W0117,Anil Yadav,Painting,11,4.4,1,1,29.008126,76.981024
W0118,Pankaj Agarwal,Cleaning,4,4.6,10,1,28.432401,77.372081
W0119,Rohit Mishra,Plumbing,5,4.0,7,1,28.437989,77.73127
W0120,Sunil Mishra,Electrical,6,3.1,1,1,28.640165,77.052874
W0121,Vivek Kumar,Carpentry,20,3.5,10,1,28.775675,77.515587
W0122,Rajesh Patel,Gardening,10,3.9,9,1,29.195096,77.79285
W0123,Suresh Gupta,Carpentry,11,3.1,3,0,28.581203,77.679044
W0124,Amit Yadav,Gardening,15,4.8,9,0,28.834461,76.970992
W0125,Amit Verma,Plumbing,16,3.9,4,1,28.83649,76.917102
W0126,Vivek Patel,Carpentry,19,4.2,6,1,28.610124,77.762219
W0127,Amit Mishra,Gardening,2,3.4,6,1,28.792538,77.769019
W0128,Vikas Yadav,Carpentry,5,3.2,5,1,29.154437,77.527311
W0129,Sunil Agarwal,Cleaning,9,3.3,3,1,29.059243,77.039607
W0130,Karan Sharma,Cleaning,16,4.9,1,0,28.838022,77.368202
W0131,Rohit Gupta,Gardening,8,4.9,7,1,28.596321,77.289607
W0132,Rajesh Sharma,Gardening,20,4.2,7,1,28.829301,77.062175
W0133,Rajesh Gupta,Cleaning,16,3.2,10,0,28.793872,77.211838
W0134,Deepak Singh,Painting,12,3.4,3,0,29.005806,77.170184
W0135,Sunil Sharma,Electrical,12,4.7,4,1,29.061609,77.535989
W0136,Karan Gupta,Gardening,19,3.9,4,1,29.021296,77.795533
W0137,Sunil Agarwal,Cleaning,14,3.9,1,1,28.831488,76.85096
W0138,Amit Verma,Electrical,12,3.7,2,1,28.856889,76.931268
W0139,Manoj Gupta,Cleaning,1,4.8,8,1,28.455197,76.897094
W0140,Pankaj Kumar,Plumbing,6,3.2,1,1,29.13655,77.223028
W0141,Manoj Singh,Carpentry,17,4.7,3,1,29.128137,77.399622
W0142,Anil Patel,Painting,20,4.7,1,1,28.538858,77.748006
W0143,Anil Verma,Electrical,8,3.7,3,1,28.859654,77.461471
W0144,Suresh Joshi,Painting,13,4.9,0,1,28.919164,77.442384
W0145,Ravi Verma,Carpentry,16,4.5,2,1,28.913112,77.006777
W0146,Karan Yadav,Plumbing,18,3.5,9,1,28.467081,77.550527
W0147,Rajesh Singh,Cleaning,11,3.2,8,1,29.080979,77.400603
W0148,Vivek Singh,Electrical,14,4.4,2,1,29.158136,77.164403
W0149,Vikas Verma,Plumbing,4,3.0,0,0,29.124938,77.427795
W0150,Ravi Joshi,Gardening,6,4.2,5,1,28.499076,77.256116
W0151,Rohit Joshi,Electrical,15,3.0,7,1,28.943348,77.305849
W0152,Amit Sharma,Plumbing,14,4.3,3,1,28.647687,77.330724
W0153,Vivek Patel,Electrical,1,3.8,5,1,28.524791,77.555644
W0154,Rohit Agarwal,Plumbing,19,3.7,2,1,28.954118,77.656257
W0155,Ravi Singh,Cleaning,3,3.1,7,1,28.50238,76.92471
W0156,Karan Sharma,Plumbing,14,4.4,1,1,29.111323,77.389455
W0157,Arun Kumar,Carpentry,14,3.4,5,1,28.503173,77.223617
W0158,Karan Sharma,Electrical,1,3.5,6,1,29.151976,76.887357
W0159,Anil Agarwal,Plumbing,16,3.9,7,1,28.998141,77.344612
W0160,Anil Patel,Gardening,19,4.1,9,0,28.573355,77.066275
W0161,Anil Yadav,Painting,17,4.2,4,0,29.129827,77.504377
W0162,Manoj Joshi,Carpentry,5,3.2,0,1,28.54691,77.755504
W0163,Suresh Patel,Gardening,9,5.0,7,1,28.912967,77.130956
W0164,Pankaj Joshi,Electrical,4,3.0,3,1,28.455356,77.186722
W0165,Suresh Yadav,Carpentry,14,3.3,1,0,28.490308,77.278974
W0166,Rohit Patel,Painting,10,3.4,5,1,28.486744,77.165851
W0167,Karan Sharma,Carpentry,2,3.6,6,1,28.999534,77.448835
W0168,Amit Agarwal,Cleaning,8,4.9,5,0,28.923126,77.295885
W0169,Anil Joshi,Electrical,9,4.8,9,1,29.158648,77.288933
W0170,Pankaj Mishra,Gardening,7,3.7,9,1,28.893787,77.725292
W0171,Vikas Joshi,Gardening,4,3.1,9,1,29.152886,77.442841
W0172,Vikas Singh,Cleaning,11,3.8,7,1,28.794312,76.816986
W0173,Rohit Patel,Plumbing,10,3.2,8,1,28.56228,77.33529
W0174,Ravi Agarwal,Painting,2,4.3,10,1,28.590493,76.932946
W0175,Rohit Sharma,Cleaning,10,3.9,1,1,28.904032,77.486405
W0176,Ravi Singh,Plumbing,3,4.1,5,0,28.873473,77.282301
W0177,Vikas Gupta,Painting,6,4.1,6,1,29.027541,77.511494
W0178,Anil Singh,Carpentry,18,4.9,6,0,29.173412,77.63423
W0179,Amit Mishra,Carpentry,19,3.3,0,1,29.14495,77.000748
W0180,Rajesh Mishra,Cleaning,20,4.4,7,1,28.762741,76.880895
W0181,Rajesh Mishra,Electrical,20,3.4,3,1,28.560213,76.812797
W0182,Vivek Sharma,Electrical,7,3.9,0,1,28.703597,77.785836
W0183,Vivek Sharma,Plumbing,13,3.4,5,1,28.746855,77.439104
W0184,Amit Kumar,Electrical,20,3.5,6,1,28.828845,77.057638
W0185,Ravi Sharma,Electrical,18,5.0,4,1,29.033401,77.717141
W0186,Arun Patel,Cleaning,13,4.2,2,0,28.712428,77.259813
W0187,Rohit Patel,Electrical,7,3.2,9,1,28.578037,77.488831
W0188,Anil Joshi,Carpentry,11,4.6,10,0,29.064561,76.888072
W0189,Arun Singh,Cleaning,13,4.9,5,1,28.501542,77.043587
W0190,Manoj Joshi,Carpentry,6,3.9,5,1,28.45657,77.634597
W0191,Mohit Agarwal,Plumbing,16,4.0,10,1,28.798203,77.67088
W0192,Rajesh Sharma,Carpentry,2,3.6,1,0,28.594547,77.587636
W0193,Arun Singh,Carpentry,12,4.3,0,1,28.457294,77.707557
W0194,Sunil Joshi,Carpentry,11,3.3,9,1,29.168355,77.115243
W0195,Mohit Singh,Carpentry,20,4.9,6,1,29.102479,77.40042
W0196,Karan Mishra,Electrical,12,4.2,6,1,28.737854,77.588839
W0197,Mohit Joshi,Cleaning,3,3.5,6,1,28.591364,77.477295
W0198,Sunil Singh,Carpentry,20,3.0,2,1,28.621777,77.045856
W0199,Rajesh Verma,Plumbing,3,4.9,6,1,28.733201,76.976286
W0200,Karan Yadav,Electrical,15,4.4,4,0,28.681081,77.609432
W0201,Karan Gupta,Painting,16,4.9,8,1,28.938361,76.846875
W0202,Vikas Singh,Electrical,2,4.1,3,1,28.69923,77.673384
W0203,Karan Gupta,Painting,13,3.4,9,1,29.19252,77.736243
W0204,Anil Mishra,Cleaning,15,3.1,8,1,28.419317,77.224971
W0205,Pankaj Agarwal,Carpentry,14,5.0,0,1,28.859079,77.2803
W0206,Amit Yadav,Cleaning,10,4.6,7,1,29.057802,77.441422
W0207,Karan Kumar,Cleaning,12,3.1,3,1,28.90026,77.160842
W0208,Amit Agarwal,Plumbing,10,4.7,0,1,28.807577,77.11927
W0209,Suresh Mishra,Gardening,2,3.9,6,1,28.992067,77.755539
W0210,Suresh Mishra,Electrical,18,3.4,2,1,28.634844,76.872633
W0211,Sunil Singh,Painting,6,3.1,8,1,28.409659,77.464329
W0212,Anil Sharma,Plumbing,15,3.8,3,1,29.089904,76.85718
W0213,Anil Kumar,Gardening,18,4.9,0,1,28.651452,77.556874
W0214,Ravi Kumar,Electrical,3,4.5,4,0,28.945467,77.612598
W0215,Amit Joshi,Gardening,7,3.7,9,0,29.103455,77.058064
W0216,Vikas Mishra,Gardening,12,4.9,4,1,28.838095,77.024128
W0217,Mohit Singh,Painting,18,4.8,3,1,28.700096,77.794589
W0218,Vivek Gupta,Plumbing,4,4.9,5,1,28.501471,77.075056
W0219,Karan Gupta,Plumbing,15,3.5,8,1,28.589575,77.118356
W0220,Suresh Mishra,Painting,5,4.2,3,1,29.004527,77.131874
W0221,Pankaj Patel,Carpentry,5,3.3,3,0,28.638351,77.421819
W0222,Manoj Kumar,Carpentry,8,4.8,1,1,29.104665,77.085575
W0223,Pankaj Mishra,Plumbing,8,4.6,8,1,28.444328,77.632418
W0224,Karan Gupta,Plumbing,17,4.7,1,1,28.698273,77.066411
W0225,Vikas Verma,Gardening,5,4.7,8,1,28.570787,76.89688
W0226,Anil Mishra,Gardening,3,4.7,1,1,29.101958,77.350038
W0227,Mohit Yadav,Painting,7,4.6,3,1,28.876777,77.429247
W0228,Sunil Gupta,Carpentry,16,3.2,1,1,28.608644,76.891766
W0229,Pankaj Yadav,Carpentry,18,3.2,4,1,28.972876,77.001438
W0230,Pankaj Yadav,Cleaning,8,4.1,9,1,29.130818,77.668311
W0231,Karan Mishra,Plumbing,6,3.9,2,1,28.95261,77.309668
W0232,Sunil Mishra,Painting,1,3.5,2,1,28.442767,76.923994
W0233,Ravi Kumar,Plumbing,2,4.0,2,1,28.555095,77.569201
W0234,Karan Agarwal,Electrical,13,3.0,6,1,28.875486,77.069607
W0235,Arun Agarwal,Gardening,11,4.7,7,1,28.946952,77.335815
W0236,Karan Singh,Painting,1,3.7,9,1,28.588589,77.270182
W0237,Rohit Yadav,Plumbing,6,4.6,0,1,28.460384,77.726601
W0238,Amit Agarwal,Electrical,12,3.2,8,1,28.815147,77.679817
W0239,Arun Mishra,Electrical,15,4.5,10,0,28.856791,77.54115
W0240,Anil Kumar,Gardening,16,3.9,9,1,28.900585,76.897231
W0241,Sunil Yadav,Gardening,20,4.9,3,1,28.64837,77.130716
W0242,Rohit Yadav,Carpentry,19,4.9,0,1,28.863478,77.557543
W0243,Suresh Joshi,Electrical,16,4.6,3,1,28.756516,76.93903
W0244,Rohit Singh,Carpentry,13,3.1,10,0,28.847911,77.582511
W0245,Mohit Joshi,Plumbing,7,3.0,4,1,28.786315,77.352313
W0246,Karan Gupta,Gardening,1,4.7,5,0,29.128572,77.462691
W0247,Rajesh Kumar,Carpentry,20,4.3,1,1,29.181885,77.76724
W0248,Ravi Kumar,Cleaning,13,4.3,1,0,28.53863,77.118253
W0249,Deepak Yadav,Gardening,12,3.8,2,1,29.085203,76.956703
W0250,Rajesh Patel,Painting,9,3.2,4,0,28.511439,76.869954
W0251,Rajesh Mishra,Painting,18,3.1,8,1,28.651852,77.642505
W0252,Vikas Yadav,Carpentry,9,5.0,4,1,28.63229,77.135949
W0253,Vivek Sharma,Carpentry,9,4.3,7,0,29.100642,76.847195
W0254,Rohit Mishra,Gardening,3,4.9,0,1,28.595892,77.723533
W0255,Vikas Joshi,Electrical,4,3.8,0,1,28.780371,77.343017
W0256,Ravi Kumar,Plumbing,4,4.7,8,1,28.668878,77.683832
W0257,Deepak Patel,Cleaning,7,4.5,2,1,28.855401,76.856411
W0258,Arun Yadav,Electrical,20,3.6,1,0,28.634816,77.697678
W0259,Vikas Gupta,Carpentry,11,3.8,1,1,29.114737,77.129326
W0260,Pankaj Sharma,Painting,10,4.0,10,1,29.012544,77.394599
W0261,Arun Agarwal,Carpentry,8,3.4,10,1,29.181867,77.494663
W0262,Ravi Yadav,Plumbing,9,3.5,5,1,28.413901,77.694778
W0263,Karan Sharma,Electrical,10,4.4,3,1,28.473016,77.382161
W0264,Vivek Yadav,Cleaning,2,3.3,4,0,29.021712,76.860281
W0265,Vikas Patel,Cleaning,5,4.8,2,1,29.109347,77.0973
W0266,Sunil Agarwal,Painting,16,3.0,6,1,29.104789,77.023586
W0267,Vivek Mishra,Gardening,15,4.9,5,1,28.544644,77.564241
W0268,Deepak Agarwal,Painting,12,3.3,9,1,28.733311,77.728544
W0269,Karan Gupta,Plumbing,11,4.6,2,0,29.133869,77.36928
W0270,Manoj Kumar,Carpentry,13,3.8,10,1,28.839524,77.505063
W0271,Vikas Mishra,Cleaning,20,3.9,0,1,28.780649,77.541707
W0272,Anil Sharma,Gardening,2,4.6,1,1,29.186248,77.113716
W0273,Vivek Verma,Painting,7,3.4,10,1,28.619878,77.576451
W0274,Mohit Sharma,Painting,8,4.9,1,0,28.510116,77.215738
W0275,Vikas Patel,Carpentry,15,3.2,10,1,28.920158,77.255305
W0276,Deepak Yadav,Carpentry,9,4.3,4,1,28.827236,77.427835
W0277,Rajesh Mishra,Gardening,4,3.7,4,1,28.971037,77.532903
W0278,Mohit Kumar,Electrical,1,3.2,2,1,28.966707,76.823793
W0279,Vikas Yadav,Carpentry,6,3.2,6,1,28.733459,77.092293
W0280,Rajesh Agarwal,Gardening,18,3.6,3,1,28.548076,76.928122
W0281,Karan Agarwal,Painting,17,4.0,9,1,28.604726,77.187096
W0282,Anil Singh,Carpentry,7,4.4,6,1,28.793129,77.732604
W0283,Pankaj Mishra,Plumbing,13,4.7,10,1,29.074778,77.273545
W0284,Anil Patel,Painting,1,4.5,7,1,28.536847,77.094323
W0285,Anil Agarwal,Cleaning,13,4.6,6,1,28.670712,77.663061
W0286,Amit Singh,Electrical,13,4.3,0,1,29.095023,76.949729
W0287,Karan Joshi,Gardening,7,4.7,7,1,28.666298,77.567605
W0288,Deepak Patel,Gardening,12,3.6,0,1,29.141435,77.114808
W0289,Pankaj Singh,Plumbing,17,4.8,0,0,28.611037,77.56997
W0290,Rohit Sharma,Cleaning,7,3.6,2,1,28.662554,77.619526
W0291,Suresh Kumar,Plumbing,20,3.9,4,0,28.593576,76.825153
W0292,Anil Gupta,Electrical,11,4.4,7,1,29.073875,77.520372
W0293,Amit Joshi,Carpentry,6,3.5,4,1,29.065184,77.345372
W0294,Vikas Sharma,Gardening,15,4.3,5,0,28.812072,77.257323
W0295,Anil Kumar,Gardening,17,3.9,0,1,29.05858,77.501095
W0296,Amit Singh,Electrical,12,4.9,4,1,28.445633,77.009343
W0297,Arun Gupta,Plumbing,18,3.8,6,1,28.74383,77.766345
W0298,Sunil Patel,Plumbing,19,4.2,3,1,28.60396,77.718284
W0299,Mohit Patel,Electrical,20,4.2,3,1,29.171164,77.193689
W0300,Suresh Kumar,Gardening,18,4.2,10,1,29.01001,77.355099
W0301,Deepak Kumar,Painting,11,4.8,5,1,29.083842,76.87874
W0302,Ravi Kumar,Carpentry,14,3.9,5,1,28.878228,77.669955
W0303,Rohit Verma,Gardening,13,4.8,4,1,29.055816,77.403527
W0304,Amit Sharma,Gardening,12,4.6,1,0,28.663733,77.458388
W0305,Sunil Mishra,Electrical,14,3.7,6,1,28.959125,77.586734
W0306,Amit Gupta,Carpentry,11,4.7,4,1,28.879049,77.118327
W0307,Suresh Verma,Plumbing,15,4.6,1,1,28.667338,77.74678
W0308,Deepak Yadav,Painting,14,3.5,9,1,29.099931,77.220165
W0309,Vikas Patel,Cleaning,8,3.1,3,0,28.965836,77.533869
W0310,Ravi Joshi,Gardening,10,4.8,10,1,29.114681,77.642203
W0311,Sunil Yadav,Gardening,14,4.7,0,1,28.657574,76.863669
W0312,Amit Kumar,Carpentry,3,4.1,9,1,29.16291,77.223485
W0313,Rajesh Patel,Gardening,18,4.5,4,1,28.761626,77.412344
W0314,Arun Joshi,Electrical,4,3.7,8,1,28.86328,77.232213
W0315,Manoj Mishra,Carpentry,19,3.6,9,0,28.499886,77.271245
W0316,Deepak Gupta,Electrical,19,4.3,5,1,28.605211,77.134426
W0317,Rajesh Mishra,Plumbing,11,3.7,9,1,29.059178,77.228278
W0318,Vikas Sharma,Cleaning,1,4.7,9,1,28.499332,77.446401
W0319,Manoj Joshi,Plumbing,20,4.5,4,1,29.040121,76.935244
W0320,Karan Singh,Painting,8,4.8,5,1,29.128068,77.548012
W0321,Deepak Sharma,Gardening,8,3.1,9,1,28.552527,77.370144
W0322,Karan Verma,Plumbing,20,4.4,4,1,29.034329,77.685985
W0323,Rajesh Verma,Electrical,15,3.9,8,0,28.658818,77.438427
W0324,Suresh Sharma,Electrical,10,3.1,6,1,28.532642,77.197022
W0325,Arun Sharma,Painting,10,4.8,1,1,28.65431,77.53531
W0326,Mohit Mishra,Electrical,10,4.5,1,1,28.969445,77.791653
W0327,Arun Verma,Electrical,15,3.9,3,1,28.790148,77.519164
W0328,Rajesh Kumar,Gardening,2,3.1,7,1,29.10278,77.594955
W0329,Suresh Kumar,Painting,11,3.5,0,1,28.408289,77.714214
W0330,Vikas Singh,Gardening,18,4.9,1,1,29.140564,77.301338
W0331,Deepak Joshi,Gardening,11,3.2,10,1,28.608176,77.46182
W0332,Suresh Kumar,Gardening,14,3.0,3,0,28.558616,77.46807
W0333,Vivek Sharma,Painting,13,4.4,1,1,28.977356,76.988549
W0334,Rohit Patel,Carpentry,7,4.8,0,1,28.924472,77.34832
W0335,Vivek Verma,Painting,7,4.0,0,1,28.649803,77.649421
W0336,Suresh Gupta,Gardening,1,3.7,5,1,28.586698,77.246495
W0337,Vikas Verma,Painting,14,3.7,10,1,28.959405,77.732731
W0338,Anil Joshi,Electrical,20,3.9,9,1,29.012576,77.022176
W0339,Sunil Verma,Gardening,14,3.9,0,1,29.099718,77.208093
W0340,Vikas Verma,Carpentry,12,4.1,3,1,28.432669,77.592993
W0341,Amit Verma,Electrical,19,4.1,6,1,29.155733,77.462987
W0342,Karan Mishra,Cleaning,12,3.2,6,0,28.417187,76.962063
W0343,Mohit Gupta,Painting,7,4.0,9,1,28.649892,77.020764
W0344,Rajesh Joshi,Plumbing,15,3.2,3,1,28.975017,76.996007
W0345,Sunil Joshi,Gardening,17,3.2,1,1,29.02417,77.748724
W0346,Deepak Sharma,Painting,13,4.5,2,1,28.537388,77.01112
W0347,Ravi Verma,Electrical,3,4.5,10,1,29.020604,76.80066
W0348,Deepak Gupta,Electrical,9,4.3,10,1,28.400035,77.53666
W0349,Arun Kumar,Gardening,16,4.4,3,1,29.010571,77.394993
W0350,Pankaj Singh,Painting,10,3.6,0,0,29.053653,77.090275
W0351,Anil Agarwal,Plumbing,13,4.5,8,1,28.741598,77.216165
W0352,Vikas Joshi,Painting,13,3.6,3,1,28.927072,77.557727
W0353,Anil Joshi,Gardening,12,3.7,8,1,28.669187,77.797399
W0354,Suresh Singh,Carpentry,18,4.6,1,0,29.067217,77.237844
W0355,Karan Verma,Gardening,16,4.5,6,1,28.839988,76.985733
W0356,Vikas Kumar,Cleaning,9,4.1,1,1,28.447156,77.076769
W0357,Deepak Gupta,Electrical,14,4.3,1,1,28.549856,77.110067
W0358,Deepak Joshi,Electrical,19,4.7,1,1,28.5433,76.802718
W0359,Manoj Mishra,Gardening,4,3.4,0,0,28.93429,77.444227
W0360,Rajesh Mishra,Gardening,20,4.2,0,1,28.726235,77.730572
W0361,Deepak Singh,Electrical,7,4.1,1,1,28.728815,77.559394
W0362,Ravi Joshi,Electrical,13,3.9,6,1,29.048747,77.469838
W0363,Anil Singh,Electrical,12,4.9,7,1,29.167132,77.052631
W0364,Anil Joshi,Plumbing,2,4.5,10,0,28.97279,77.647614
W0365,Vivek Patel,Cleaning,9,3.9,10,1,28.442912,77.202957
W0366,Pankaj Joshi,Gardening,5,3.5,9,0,28.740041,77.74822
W0367,Arun Gupta,Electrical,11,4.7,4,0,29.168669,77.276159
