request_id,requested_service,requested_problem,customer_latitude,customer_longitude,worker_id,worker_name,worker_skill,worker_experience,worker_rating,worker_workload,worker_availability,worker_latitude,worker_longitude,distance_km,skill_match,distance_score,experience_score,rating_score,availability_score,workload_score,successful_match
R0002,Painting,Furniture Painting,28.974743,77.585925,W0666,Manoj Kumar,Painting,13,5.0,3,1,29.008037,77.719501,13.51,1,0.06891798759476224,0.65,1.0,1,0.7,1
R0002,Painting,Furniture Painting,28.974743,77.585925,W0102,Amit Patel,Painting,11,4.1,0,0,28.821506,77.213983,40.02,1,0.024378352023403216,0.55,0.82,0,1.0,1
R0002,Painting,Furniture Painting,28.974743,77.585925,W0429,Amit Patel,Painting,13,4.4,8,1,28.436043,77.481145,60.77,1,0.01618908855431439,0.65,0.8800000000000001,1,0.19999999999999996,1
R0002,Painting,Furniture Painting,28.974743,77.585925,W0333,Vivek Sharma,Painting,13,4.4,1,1,28.977356,76.988549,58.11,1,0.01691761123329386,0.65,0.8800000000000001,1,0.9,0
R0002,Painting,Furniture Painting,28.974743,77.585925,W0956,Sunil Yadav,Painting,7,4.5,4,1,28.778474,77.230339,40.93,1,0.023849272597185785,0.35,0.9,1,0.6,0
R0002,Painting,Furniture Painting,28.974743,77.585925,W0622,Amit Singh,Painting,12,4.1,8,1,29.072898,77.692902,15.08,1,0.06218905472636817,0.6,0.82,1,0.19999999999999996,1
R0002,Painting,Furniture Painting,28.974743,77.585925,W0444,Rohit Sharma,Gardening,16,4.8,8,1,29.12436,77.63588,17.33,0,0.05455537370430988,0.8,0.96,1,0.19999999999999996,0
R0002,Painting,Furniture Painting,28.974743,77.585925,W0539,Anil Yadav,Electrical,2,3.3,1,1,28.882937,77.534056,11.39,0,0.08071025020177562,0.1,0.6599999999999999,1,0.9,1
R0002,Painting,Furniture Painting,28.974743,77.585925,W0977,Suresh Patel,Cleaning,15,3.6,8,1,28.912,77.113292,46.52,0,0.02104377104377104,0.75,0.72,1,0.19999999999999996,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0242,Rohit Yadav,Carpentry,19,4.9,0,1,28.863478,77.557543,35.99,1,0.02703433360367667,0.95,0.9800000000000001,1,1.0,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0145,Ravi Verma,Carpentry,16,4.5,2,1,28.913112,77.006777,48.69,1,0.02012477359629704,0.8,0.9,1,0.8,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0252,Vikas Yadav,Carpentry,9,5.0,4,1,28.63229,77.135949,65.11,1,0.015126304643775526,0.45,1.0,1,0.6,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0261,Arun Agarwal,Carpentry,8,3.4,10,1,29.181867,77.494663,7.73,1,0.1145475372279496,0.4,0.6799999999999999,1,0.0,1
R0003,Carpentry,Door Repair,29.163227,77.417932,W0065,Karan Verma,Carpentry,4,4.6,0,0,29.127065,77.437255,4.44,1,0.1838235294117647,0.2,0.9199999999999999,0,1.0,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0018,Karan Yadav,Carpentry,11,4.5,2,1,28.93728,76.932635,53.45,1,0.018365472910927456,0.55,0.9,1,0.8,1
R0003,Carpentry,Door Repair,29.163227,77.417932,W0032,Arun Agarwal,Carpentry,16,3.4,4,0,28.426224,77.518885,82.54,1,0.011970313622216901,0.8,0.6799999999999999,0,0.6,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0823,Karan Agarwal,Painting,13,4.5,3,1,28.588185,77.754939,71.87,0,0.013723068478111704,0.65,0.9,1,0.7,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0367,Arun Gupta,Electrical,11,4.7,4,0,29.168669,77.276159,13.78,0,0.06765899864682003,0.55,0.9400000000000001,0,0.6,0
R0003,Carpentry,Door Repair,29.163227,77.417932,W0482,Deepak Verma,Gardening,4,3.6,10,1,28.708999,77.435003,50.54,0,0.019402405898331393,0.2,0.72,1,0.0,0
R0004,Painting,Exterior Painting,28.977115,77.141847,W0409,Anil Verma,Painting,7,3.1,10,1,28.712693,77.40113,38.76,1,0.025150905432595575,0.35,0.62,1,0.0,0
R0004,Painting,Exterior Painting,28.977115,77.141847,W0565,Anil Gupta,Painting,5,3.0,7,0,29.075086,77.18928,11.83,1,0.0779423226812159,0.25,0.6,0,0.30000000000000004,0
R0004,Painting,Exterior Painting,28.977115,77.141847,W0910,Pankaj Gupta,Painting,3,4.1,0,1,28.633318,77.713098,67.52,1,0.014594279042615295,0.15,0.82,1,1.0,1
R0004,Painting,Exterior Painting,28.977115,77.141847,W0093,Rohit Agarwal,Painting,2,4.8,7,1,29.193266,76.815551,39.79,1,0.024515812699190977,0.1,0.96,1,0.30000000000000004,0
R0004,Painting,Exterior Painting,28.977115,77.141847,W0142,Anil Patel,Painting,20,4.7,1,1,28.538858,77.748006,76.59,1,0.012888258796236628,1.0,0.9400000000000001,1,0.9,0
R0004,Painting,Exterior Painting,28.977115,77.141847,W0439,Rohit Joshi,Painting,13,4.1,2,1,28.567554,76.833611,54.56,1,0.017998560115190784,0.65,0.82,1,0.8,1
R0004,Painting,Exterior Painting,28.977115,77.141847,W0807,Ravi Verma,Painting,4,4.3,3,1,28.936245,77.7645,60.75,1,0.016194331983805668,0.2,0.86,1,0.7,1
R0004,Painting,Exterior Painting,28.977115,77.141847,W0034,Anil Mishra,Carpentry,15,3.7,6,1,28.563147,77.223177,46.71,0,0.020959966464053657,0.75,0.74,1,0.4,1
R0004,Painting,Exterior Painting,28.977115,77.141847,W0451,Deepak Yadav,Plumbing,15,4.9,9,1,28.882893,77.031561,15.0,0,0.0625,0.75,0.9800000000000001,1,0.09999999999999998,1
R0004,Painting,Exterior Painting,28.977115,77.141847,W0497,Ravi Verma,Electrical,14,4.2,6,1,28.807926,77.371704,29.23,0,0.033079722130334104,0.7,0.8400000000000001,1,0.4,0
R0005,Painting,Wall Painting,29.090304,77.673875,W0568,Vikas Mishra,Painting,14,4.2,1,1,28.980976,76.872424,78.86,1,0.01252191334835963,0.7,0.8400000000000001,1,0.9,1
R0005,Painting,Wall Painting,29.090304,77.673875,W0775,Anil Joshi,Painting,10,4.8,9,1,28.96869,77.710227,13.98,1,0.06675567423230974,0.5,0.96,1,0.09999999999999998,1
R0005,Painting,Wall Painting,29.090304,77.673875,W0301,Deepak Kumar,Painting,11,4.8,5,1,29.083842,76.87874,77.27,1,0.012776287210936502,0.55,0.96,1,0.5,0
R0005,Painting,Wall Painting,29.090304,77.673875,W0880,Rohit Gupta,Painting,8,3.5,5,1,28.846519,77.079956,63.82,1,0.015427337241592103,0.4,0.7,1,0.5,1
R0005,Painting,Wall Painting,29.090304,77.673875,W0092,Deepak Verma,Painting,4,4.6,9,1,28.408429,77.344641,82.33,1,0.012000480019200769,0.2,0.9199999999999999,1,0.09999999999999998,1
R0005,Painting,Wall Painting,29.090304,77.673875,W0460,Deepak Agarwal,Painting,4,3.8,10,1,28.907322,77.750105,21.66,1,0.0441306266548985,0.2,0.76,1,0.0,1
R0005,Painting,Wall Painting,29.090304,77.673875,W0098,Sunil Yadav,Painting,19,4.2,1,1,28.674707,77.248925,62.03,1,0.015865460891638903,0.95,0.8400000000000001,1,0.9,0
R0005,Painting,Wall Painting,29.090304,77.673875,W0263,Karan Sharma,Electrical,10,4.4,3,1,28.473016,77.382161,74.29,0,0.013281976358082082,0.5,0.8800000000000001,1,0.7,0
R0005,Painting,Wall Painting,29.090304,77.673875,W0689,Amit Gupta,Carpentry,4,3.8,7,0,28.686216,77.381094,53.21,0,0.018446781036709093,0.2,0.76,0,0.30000000000000004,0
R0005,Painting,Wall Painting,29.090304,77.673875,W0849,Suresh Sharma,Cleaning,14,4.2,3,1,29.095233,77.48186,18.67,0,0.05083884087442806,0.7,0.8400000000000001,1,0.7,0
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0493,Deepak Mishra,Electrical,13,3.9,4,1,28.9562,77.440759,86.91,1,0.011375270162666365,0.65,0.78,1,0.6,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0803,Deepak Singh,Electrical,7,4.9,0,1,28.93099,77.070165,63.98,1,0.015389350569405973,0.35,0.9800000000000001,1,1.0,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0732,Pankaj Kumar,Electrical,20,3.7,9,1,28.503715,77.650293,82.65,1,0.01195457262402869,1.0,0.74,1,0.09999999999999998,0
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0286,Amit Singh,Electrical,13,4.3,0,1,29.095023,76.949729,78.24,1,0.012619888944977285,0.65,0.86,1,1.0,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0881,Karan Kumar,Electrical,4,3.9,2,0,28.808829,76.914389,46.34,1,0.021123785382340513,0.2,0.78,0,0.8,0
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0357,Deepak Gupta,Electrical,14,4.3,1,1,28.549856,77.110067,33.39,1,0.02907822041291073,0.7,0.86,1,0.9,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0010,Karan Agarwal,Electrical,14,4.1,6,0,28.506192,77.433545,61.78,1,0.01592863969417012,0.7,0.82,0,0.4,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0485,Vikas Verma,Cleaning,1,3.4,7,1,28.962266,77.204822,73.12,0,0.013491635186184564,0.05,0.6799999999999999,1,0.30000000000000004,0
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0549,Ravi Joshi,Plumbing,11,4.3,8,1,29.069017,77.641131,109.67,0,0.009035872413481522,0.55,0.86,1,0.19999999999999996,1
R0006,Electrical,Appliance Installation,28.401683,76.812907,W0414,Pankaj Agarwal,Painting,4,4.1,5,1,28.848302,77.494354,83.01,0,0.01190334483990001,0.2,0.82,1,0.5,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0465,Amit Patel,Carpentry,15,3.7,7,0,29.14391,76.83927,26.24,1,0.03671071953010279,0.75,0.74,0,0.30000000000000004,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0270,Manoj Kumar,Carpentry,13,3.8,10,1,28.839524,77.505063,48.91,1,0.02003606491685033,0.65,0.76,1,0.0,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0636,Vivek Patel,Carpentry,5,4.8,3,1,29.186598,77.742065,73.43,1,0.013435442697836893,0.25,0.96,1,0.7,1
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0354,Suresh Singh,Carpentry,18,4.6,1,0,29.067217,77.237844,23.0,1,0.041666666666666664,0.9,0.9199999999999999,0,0.9,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0276,Deepak Yadav,Carpentry,9,4.3,4,1,28.827236,77.427835,42.33,1,0.023078698361412416,0.45,0.86,1,0.6,1
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0651,Anil Singh,Carpentry,16,3.8,7,1,28.671937,76.849046,37.79,1,0.025779840164990978,0.8,0.76,1,0.30000000000000004,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0032,Arun Agarwal,Carpentry,16,3.4,4,0,28.426224,77.518885,77.56,1,0.012729124236252545,0.8,0.6799999999999999,0,0.6,1
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0029,Deepak Kumar,Painting,2,4.0,3,1,28.710966,77.221694,34.88,0,0.027870680044593085,0.1,0.8,1,0.7,0
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0508,Mohit Gupta,Plumbing,16,4.3,0,1,28.531107,77.58391,73.33,0,0.013453518094981838,0.8,0.86,1,1.0,1
R0007,Carpentry,Furniture Repair,28.974058,77.026691,W0843,Rohit Mishra,Plumbing,3,3.1,4,1,28.684871,77.182964,35.58,0,0.02733734281027884,0.15,0.62,1,0.6,0
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0736,Deepak Singh,Carpentry,8,3.2,5,1,29.117217,77.28467,9.96,1,0.09124087591240876,0.4,0.64,1,0.5,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0983,Anil Verma,Carpentry,8,4.7,1,0,28.705629,77.47086,41.08,1,0.023764258555133082,0.4,0.9400000000000001,0,0.9,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0520,Pankaj Verma,Carpentry,11,3.6,5,1,29.01263,77.006482,35.49,1,0.027404768429706766,0.55,0.72,1,0.5,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0585,Ravi Verma,Carpentry,13,3.7,4,1,28.440206,77.158194,72.25,1,0.013651877133105802,0.65,0.74,1,0.6,0
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0873,Vivek Gupta,Carpentry,2,3.5,8,1,28.849265,76.929204,48.8,1,0.020080321285140562,0.1,0.7,1,0.19999999999999996,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0960,Deepak Patel,Carpentry,16,4.9,2,1,28.589872,77.128524,57.57,1,0.017073587160662457,0.8,0.9800000000000001,1,0.8,0
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0926,Rajesh Singh,Carpentry,10,4.0,8,1,28.589854,77.500464,54.27,1,0.01809299800977022,0.5,0.8,1,0.19999999999999996,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0950,Vivek Gupta,Cleaning,17,4.2,6,1,28.439945,77.183287,71.63,0,0.013768415255404103,0.85,0.8400000000000001,1,0.4,0
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0829,Manoj Verma,Cleaning,8,3.5,8,1,29.001701,77.315436,8.52,0,0.10504201680672269,0.4,0.7,1,0.19999999999999996,1
R0008,Carpentry,Cabinet Repair,29.06367,77.366893,W0160,Anil Patel,Gardening,19,4.1,9,0,28.573355,77.066275,61.89,0,0.01590077913817777,0.95,0.82,0,0.09999999999999998,0
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0691,Karan Joshi,Carpentry,17,4.9,5,0,28.616793,77.427537,33.87,1,0.028677946659019217,0.85,0.9800000000000001,0,0.5,0
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0162,Manoj Joshi,Carpentry,5,3.2,0,1,28.54691,77.755504,60.38,1,0.016291951775822742,0.25,0.64,1,1.0,1
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0590,Rohit Mishra,Carpentry,20,3.6,0,0,28.931234,77.335018,58.28,1,0.016869095816464237,1.0,0.72,0,1.0,1
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0987,Arun Mishra,Carpentry,15,4.7,0,1,29.087391,77.777162,94.99,1,0.010417751849150954,0.75,0.9400000000000001,1,1.0,1
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0644,Manoj Agarwal,Carpentry,13,3.3,5,0,28.714854,76.815165,45.44,1,0.02153316106804479,0.65,0.6599999999999999,0,0.5,1
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0165,Suresh Yadav,Carpentry,14,3.3,1,0,28.490308,77.278974,14.02,1,0.06657789613848203,0.7,0.6599999999999999,0,0.9,1
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0004,Mohit Verma,Carpentry,12,4.6,6,1,28.496527,77.609808,45.36,1,0.021570319240724764,0.6,0.9199999999999999,1,0.4,0
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0311,Sunil Yadav,Gardening,14,4.7,0,1,28.657574,76.863669,37.65,0,0.0258732212160414,0.7,0.9400000000000001,1,1.0,0
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0568,Vikas Mishra,Painting,14,4.2,1,1,28.980976,76.872424,66.79,0,0.014751438265230859,0.7,0.8400000000000001,1,0.9,0
R0009,Carpentry,Furniture Repair,28.432447,77.151542,W0357,Deepak Gupta,Electrical,14,4.3,1,1,28.549856,77.110067,13.67,0,0.0681663258350375,0.7,0.86,1,0.9,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0080,Vivek Gupta,Painting,6,3.1,8,1,29.116128,77.792113,37.15,1,0.026212319790301444,0.3,0.62,1,0.19999999999999996,1
R0010,Painting,Furniture Painting,29.097278,77.410377,W0958,Vikas Verma,Painting,3,3.1,3,1,28.505522,77.497629,66.35,1,0.014847809948032666,0.15,0.62,1,0.7,1
R0010,Painting,Furniture Painting,29.097278,77.410377,W0429,Amit Patel,Painting,13,4.4,8,1,28.436043,77.481145,73.85,1,0.013360053440213761,0.65,0.8800000000000001,1,0.19999999999999996,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0823,Karan Agarwal,Painting,13,4.5,3,1,28.588185,77.754939,65.81,1,0.0149678191887442,0.65,0.9,1,0.7,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0273,Vivek Verma,Painting,7,3.4,10,1,28.619878,77.576451,55.49,1,0.017702248185519562,0.35,0.6799999999999999,1,0.0,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0568,Vikas Mishra,Painting,14,4.2,1,1,28.980976,76.872424,53.87,1,0.01822489520685256,0.7,0.8400000000000001,1,0.9,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0096,Ravi Singh,Painting,14,4.4,9,1,28.450993,77.032561,80.75,1,0.012232415902140673,0.7,0.8800000000000001,1,0.09999999999999998,1
R0010,Painting,Furniture Painting,29.097278,77.410377,W0681,Vivek Singh,Carpentry,15,4.3,8,1,29.081776,76.854489,54.04,0,0.018168604651162792,0.75,0.86,1,0.19999999999999996,1
R0010,Painting,Furniture Painting,29.097278,77.410377,W0853,Arun Verma,Electrical,14,4.6,3,1,28.59292,77.648043,60.67,0,0.016215339711366954,0.7,0.9199999999999999,1,0.7,0
R0010,Painting,Furniture Painting,29.097278,77.410377,W0305,Sunil Mishra,Electrical,14,3.7,6,1,28.959125,77.586734,23.02,0,0.041631973355537054,0.7,0.74,1,0.4,0
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0365,Vivek Patel,Cleaning,9,3.9,10,1,28.442912,77.202957,41.18,1,0.02370791844476055,0.45,0.78,1,0.0,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0264,Vivek Yadav,Cleaning,2,3.3,4,0,29.021712,76.860281,46.43,1,0.02108370229812355,0.1,0.6599999999999999,0,0.6,0
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0834,Suresh Verma,Cleaning,9,3.1,6,1,28.513189,77.215639,39.59,1,0.024636610002463658,0.45,0.62,1,0.4,0
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0111,Vikas Kumar,Cleaning,3,3.5,4,1,28.824035,77.429927,63.89,1,0.015410695022345508,0.15,0.7,1,0.6,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0456,Karan Mishra,Cleaning,20,4.8,1,1,29.16628,76.882219,62.63,1,0.015715857300015717,1.0,0.96,1,0.9,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0704,Vivek Yadav,Cleaning,18,3.8,2,1,28.736544,77.439159,61.75,1,0.01593625498007968,0.9,0.76,1,0.8,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0723,Arun Singh,Cleaning,7,4.3,7,1,29.142536,77.288626,74.92,1,0.013171759747102213,0.35,0.86,1,0.30000000000000004,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0897,Vivek Kumar,Carpentry,1,4.9,6,1,28.904249,77.565498,79.55,0,0.012414649286157667,0.05,0.9800000000000001,1,0.4,1
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0084,Mohit Sharma,Electrical,20,3.3,5,1,29.165622,77.418929,85.06,0,0.011619800139437602,1.0,0.6599999999999999,1,0.5,0
R0011,Cleaning,Kitchen Cleaning,28.605355,76.82411,W0618,Ravi Patel,Painting,12,4.5,10,1,28.586818,77.770005,92.37,0,0.01071007818357074,0.6,0.9,1,0.0,0
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0165,Suresh Yadav,Carpentry,14,3.3,1,0,28.490308,77.278974,60.54,1,0.016249593760155997,0.7,0.6599999999999999,0,0.9,1
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0401,Manoj Yadav,Carpentry,17,3.9,8,1,28.59288,77.77836,92.1,1,0.010741138560687433,0.85,0.78,1,0.19999999999999996,1
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0767,Sunil Sharma,Carpentry,6,3.5,6,1,28.899772,77.363931,43.7,1,0.022371364653243846,0.3,0.7,1,0.4,0
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0141,Manoj Singh,Carpentry,17,4.7,3,1,29.128137,77.399622,51.78,1,0.018946570670708603,0.85,0.9400000000000001,1,0.7,1
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0786,Vivek Gupta,Carpentry,5,3.0,9,1,28.964978,77.590559,65.69,1,0.0149947518368571,0.25,0.6,1,0.09999999999999998,0
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0242,Rohit Yadav,Carpentry,19,4.9,0,1,28.863478,77.557543,62.88,1,0.015654351909830933,0.95,0.9800000000000001,1,1.0,0
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0927,Manoj Singh,Carpentry,16,3.0,0,1,29.066863,77.198717,31.27,1,0.03098853424233034,0.8,0.6,1,1.0,1
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0375,Vivek Sharma,Gardening,10,4.5,6,1,29.145447,77.266324,41.46,0,0.023551577955723033,0.5,0.9,1,0.4,1
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0371,Sunil Sharma,Electrical,4,4.5,8,1,28.864288,76.864759,9.08,0,0.0992063492063492,0.2,0.9,1,0.19999999999999996,0
R0012,Carpentry,Cabinet Repair,28.932234,76.916459,W0091,Anil Mishra,Cleaning,11,4.5,0,0,28.808815,77.628016,70.63,0,0.013960631020522129,0.55,0.9,0,1.0,0
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0901,Sunil Gupta,Gardening,12,4.0,4,1,28.791039,77.568727,68.32,1,0.01442585112521639,0.6,0.8,1,0.6,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0882,Vikas Singh,Gardening,2,4.0,2,1,28.862076,77.0394,22.63,1,0.04231908590774439,0.1,0.8,1,0.8,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0415,Rajesh Kumar,Gardening,15,4.6,1,1,29.047922,76.997668,6.91,1,0.1264222503160556,0.75,0.9199999999999999,1,0.9,0
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0280,Rajesh Agarwal,Gardening,18,3.6,3,1,28.548076,76.928122,54.73,1,0.017943656917279744,0.9,0.72,1,0.7,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0625,Rohit Joshi,Gardening,10,5.0,7,1,28.427074,77.232577,74.41,1,0.013260840737302746,0.5,1.0,1,0.30000000000000004,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0942,Manoj Gupta,Gardening,18,4.6,6,1,28.534287,76.964727,56.38,1,0.017427675148135237,0.9,0.9199999999999999,1,0.4,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0050,Deepak Joshi,Gardening,9,4.4,5,1,29.179155,77.098684,22.72,1,0.04215851602023609,0.45,0.8800000000000001,1,0.5,1
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0536,Vikas Verma,Carpentry,3,3.2,5,0,28.634131,77.003033,45.76,0,0.0213857998289136,0.15,0.64,0,0.5,0
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0653,Rohit Sharma,Plumbing,4,4.6,2,1,28.87556,77.260007,37.21,0,0.02617115938236064,0.2,0.9199999999999999,1,0.8,0
R0013,Gardening,Tree Trimming,29.040284,76.927096,W0693,Sunil Agarwal,Electrical,8,4.2,4,1,28.444395,77.257888,73.69,0,0.013388673182487616,0.4,0.8400000000000001,1,0.6,0
R0014,Painting,Room Painting,28.930132,76.989284,W0093,Rohit Agarwal,Painting,2,4.8,7,1,29.193266,76.815551,33.78,1,0.02875215641173088,0.1,0.96,1,0.30000000000000004,1
R0014,Painting,Room Painting,28.930132,76.989284,W0751,Karan Mishra,Painting,11,4.5,1,0,28.492925,77.418532,64.15,1,0.015349194167306216,0.55,0.9,0,0.9,0
R0014,Painting,Room Painting,28.930132,76.989284,W0281,Karan Agarwal,Painting,17,4.0,9,1,28.604726,77.187096,41.0,1,0.023809523809523808,0.85,0.8,1,0.09999999999999998,1
R0014,Painting,Room Painting,28.930132,76.989284,W0429,Amit Patel,Painting,13,4.4,8,1,28.436043,77.481145,72.94,1,0.01352447930754666,0.65,0.8800000000000001,1,0.19999999999999996,0
R0014,Painting,Room Painting,28.930132,76.989284,W0997,Ravi Patel,Painting,2,4.2,10,1,29.004696,77.508806,51.22,1,0.019149751053236307,0.1,0.8400000000000001,1,0.0,1
R0014,Painting,Room Painting,28.930132,76.989284,W0568,Vikas Mishra,Painting,14,4.2,1,1,28.980976,76.872424,12.7,1,0.07299270072992702,0.7,0.8400000000000001,1,0.9,1
R0014,Painting,Room Painting,28.930132,76.989284,W0057,Pankaj Joshi,Painting,15,4.2,5,0,28.745303,76.851422,24.55,1,0.03913894324853229,0.75,0.8400000000000001,0,0.5,0
R0014,Painting,Room Painting,28.930132,76.989284,W0191,Mohit Agarwal,Plumbing,16,4.0,10,1,28.798203,77.67088,67.98,0,0.014496955639315743,0.8,0.8,1,0.0,1
